Location,Date,Time,Total
03rd / Bannock,2013-09-10,AM,52.0
03rd / Myrtle,2013-09-10,PM,150.0
07th / Brumback,2013-09-11,AM,24.0
08th / Bannock,2013-09-10,AM,165.0
08th / Bannock,2013-09-11,AM,149.0
08th / Bannock,2013-09-12,AM,130.0
08th / Brumback,2013-09-11,AM,28.0
08th / Fort,2013-09-11,PM,122.0
08th / Front,2013-09-10,AM,167.0
08th / Greenbelt,2013-09-12,AM,164.0
08th / River,2013-09-10,PM,295.0
08th / S Greenbelt,2013-09-12,AM,288.0
10th / Grove,2013-09-12,PM,49.0
13th / Fort,2013-09-10,PM,126.0
13th / Fort,2013-09-11,PM,115.0
13th / Lemp,2013-09-10,PM,106.0
15th / Bannock,2013-09-12,PM,117.0
15th / Franklin,2013-09-12,PM,116.0
18th / Resseguie,2013-09-10,AM,103.0
23rd / Ellis,2013-09-10,AM,63.0
27th / Fairview,2013-09-11,AM,53.0
27th / State,2013-09-10,AM,37.0
27th / State,2013-09-11,AM,43.0
27th / State,2013-09-12,AM,43.0
36th / Hill / Catalpa,2013-09-10,AM,91.0
Amity / Holcomb,2013-09-11,PM,18.0
Boise / Apple,2013-09-11,PM,55.0
Broadway / Greenbelt,2013-09-10,PM,292.0
Broadway / Warm Springs,2013-09-10,AM,73.0
Cassia / Curtis,2013-09-12,PM,48.0
Chinden / Garrett,2013-09-10,AM,36.0
Collister / Catalpa,2013-09-10,PM,43.0
Eagle / State,2013-09-11,AM,15.0
Emerald / Americana / Latah,2013-09-11,PM,129.0
Emerald / Five Mile,2013-09-10,AM,32.0
Emerald / Five Mile,2013-09-11,PM,52.0
Emerald / Phillippi,2013-09-11,AM,69.0
Federal Way / Kootenai,2013-09-10,PM,145.0
Five Mile / McMillan,2013-09-11,AM,66.0
Five Mile / McMillan,2013-09-12,AM,62.0
Friendship Bridge / Greenbelt,2013-09-10,PM,413.0
Friendship Bridge / Greenbelt,2013-09-12,PM,593.0
Glenwood / Marigold,2013-09-11,AM,27.0
Hill / Castle,2013-09-11,AM,38.0
Hill / Harrison,2013-09-12,AM,49.0
Hill / Horseshoe Bend,2013-09-10,PM,38.0
Jefferson / Avenue B,2013-09-10,AM,79.0
Leadville / Highland,2013-09-10,AM,49.0
Leadville / Highland,2013-09-10,PM,50.0
Leadville / Highland,2013-09-12,AM,31.0
Leadville / Highland,2013-09-12,PM,41.0
Maple Grove / Victory,2013-09-11,PM,24.0
Marigold / S Greenbelt,2013-09-11,PM,48.0
Pleasanton Bridge / N Greenbelt,2013-09-10,PM,254.0
Ustick / Milwaukee,2013-09-12,PM,51.0
VMP / Adams,2013-09-11,PM,61.0
VMP / Chinden,2013-09-10,PM,75.0
Warm Springs / Walnut,2013-09-10,PM,78.0
