Location,Date,Time,Total
05th / Idaho,2012-09-13,AM,28.0
06th / O'Farrell,2012-09-13,PM,62.0
06th / Union,2012-09-11,PM,127.0
06th / Union,2012-09-12,AM,46.0
06th / Union,2012-09-15,PM,137.0
08th / Bannock,2012-09-11,AM,178.0
08th / Bannock,2012-09-12,AM,132.0
08th / Bannock,2012-09-18,NOON,61.0
08th / Main,2012-09-11,PM,339.0
08th / Main,2012-09-12,PM,343.0
08th / River,2012-09-11,AM,146.0
08th / S Greenbelt,2012-09-13,AM,315.0
13th / Fort,2012-09-19,PM,129.0
15th / Bannock,2012-09-18,PM,59.0
15th/ Idaho,2012-09-19,PM,35.0
16th / Bannock,2012-09-20,PM,60.0
16th / Idaho,2012-09-21,PM,36.0
15th / Franklin,2012-09-13,PM,125.0
23rd / Ellis,2012-09-12,AM,71.0
39th / Taft,2012-09-12,PM,32.0
42nd / Greenbelt,2012-09-13,PM,78.0
50th / Alworth,2012-09-11,PM,15.0
Americana / N Greenbelt,2012-09-13,PM,445.0
Bogus Basin / Cartwright,2012-09-12,PM,29.0
Bogus Basin / Cartwright,2012-09-15,NOON,90.0
Boise / Leadville,2012-09-11,AM,65.0
Boise / Protest,2012-09-12,AM,156.0
Broadway / S Greenbelt,2012-09-12,PM,306.0
Broadway / University,2012-09-20,NOON,124.0
Broadway / Warm Springs,2012-09-11,AM,53.0
Broadway / Warm Springs,2012-09-12,AM,64.0
Chinden / Garrett,2012-09-01,PM,25.0
Cloverdale / McMillan,2012-09-12,PM,64.0
Curtis / Northview,2012-09-13,PM,66.0
Eagle / S Greenbelt,2012-09-11,PM,15.0
Eagle / S Greenbelt,2012-09-12,PM,11.0
Eagle / S Greenbelt,2012-09-13,PM,14.0
Eagle / State,2012-09-11,AM,12.0
Eagle / State,2012-09-13,PM,26.0
Gowen / Pleasant Valley,2012-09-15,AM,17.0
Hill / Harrison,2012-09-11,AM,68.0
"Hill, Parkinson / Woodale",2012-09-12,AM,5.0
"Hill, Parkinson / Woodale",2012-09-12,PM,11.0
Hill / Seaman Gulch,2012-09-12,PM,29.0
Hill / Seaman Gulch,2012-09-15,PM,86.0
Leadville / S Greenbelt,2012-09-12,PM,202.0
Marigold / S Greenbelt,2012-09-13,PM,182.0
Orange Bridge & Greenbelt S,2012-09-12,PM,87.0
Orange Bridge & Greenbelt S,2012-09-13,PM,213.0
Pleasonton Bridge / N Greenbelt,2012-09-12,PM,355.0
Pleasonton Bridge / S Greenbelt,2012-09-12,PM,99.0
Seaman Gulch / Dry Creek,2012-09-11,PM,4.0
Seaman Gulch / Dry Creek,2012-09-12,AM,3.0
Ustick / Milwaukee,2012-09-12,PM,37.0
Victory / Gowen,2012-09-11,AM,18.0
Vista / Kootenai,2012-09-12,PM,96.0
Vista / Overland,2012-09-12,AM,28.0
VMP / Adams,2012-09-19,AM,27.0
Warm Springs / Parkcenter,2012-09-11,AM,21.0
Warm Springs / Parkcenter,2012-09-15,AM,59.0
Warm Springs / Walnut,2012-09-15,PM,103.0
