Location,Date,Time,Total
Federal/Protest/Kootenia,2018-05-09,am,66.0
10th and Franklin/Boise High,2018-05-09,am,148.0
Garden St/Franklin Rd,2019-05-10,PM,33.0
27th/State St,2018-05-09,PM,45.0
10th/Bannock,2018-05-01,PM,206.0
Vista/Overland,2018-05-09,PM,35.0
Curtis/Cassia,2018-05-09,PM,23.0
Boise/Bown,2018-05-09,AM,38.0
Whitewater/Pleasonton,2018-05-08,PM,97.0
Whitewater/Pleasonton,2018-05-08,PM,100.0
Shoeshone/Cassia,2018-05-08,PM,20.0
Parkcenter/Bown,2018-05-08,AM,47.0
Lusk/Royal,2018-05-09,PM,85.0
