Location,Date,Time,Total
03rd / Myrtle,2014-09-10,PM,133.0
03rd / Myrtle,2014-09-11,AM,87.0
08th / Bannock,2014-09-10,AM,201.0
08th / Bannock,2014-09-11,PM,306.0
08th / Brumback,2014-09-11,AM,30.0
08th / Fort,2014-09-11,PM,153.0
08th / Greenbelt,2014-09-09,AM,281.0
08th / River,2014-09-09,PM,302.0
08th / River,2014-09-11,AM,109.0
10th / Bannock,2014-09-11,PM,192.0
13th / Fort,2014-09-09,PM,104.0
13th / Fort,2014-09-10,PM,102.0
13th / Fort,2014-09-11,PM,86.0
15th / Franklin,2014-09-11,PM,156.0
18th / Resseguie,2014-09-11,AM,113.0
27th / State,2014-09-09,PM,43.0
36th / Hill / Catalpa,2014-09-10,AM,55.0
Amity / Holcomb,2014-09-10,PM,26.0
Boise / Apple,2014-09-09,PM,78.0
Boise / Bergeson,2014-09-11,PM,16.0
Boise / Protest,2014-09-10,AM,146.0
Boise / Protest,2014-09-10,PM,173.0
Broadway / University,2014-09-11,AM,41.0
Broadway / Warm Springs,2014-09-10,AM,62.0
Cloverdale / McMillan,2014-09-09,PM,60.0
Collister / Catalpa,2014-09-09,PM,49.0
Eagle / State,2014-09-09,AM,21.0
Emerald / Americana / Latah,2014-09-09,PM,182.0
Fairview / Orchard,2014-09-11,AM,53.0
Federal Way / Bergerson,2014-09-11,PM,34.0
Five Mile / McMillan,2014-09-09,AM,57.0
Friendship Bridge / N Greenbelt,2014-09-10,PM,455.0
Friendship Bridge / S Greenbelt,2014-09-10,PM,660.0
Glenwood / Marigold,2014-09-09,AM,33.0
Hill / Bogus Basin,2014-09-10,PM,125.0
Hill / Castle,2014-09-10,AM,27.0
Hill / Horseshoe Bend,2014-09-09,AM,18.0
Hill / Horseshoe Bend,2014-09-10,AM,11.0
Hill / Horseshoe Bend,2014-09-10,PM,35.0
Hill / Horseshoe Bend,2014-09-11,AM,15.0
Idaho / Capitol,2014-09-09,AM,51.0
Idaho / Capitol,2014-09-11,AM,53.0
Irving / Orchard,2014-09-09,PM,95.0
Jefferson / Fort,2014-09-10,AM,90.0
Kootenai / Latah,2014-09-10,PM,61.0
Kootenai / Latah,2014-09-11,AM,64.0
Leadville / Highland,2014-09-11,AM,43.0
Linder / Pine,2014-09-09,PM,18.0
Linder / Porter,2014-09-09,AM,15.0
Locust Grove / Overland,2014-09-09,PM,19.0
Maple Grove / Victory,2014-09-09,AM,43.0
Maple Grove / Victory,2014-09-09,PM,14.0
Maple Grove / Victory,2014-09-11,AM,45.0
Orange Bridge / Greenbelt,2014-09-10,PM,227.0
Parkcenter / Bown,2014-09-09,AM,46.0
Parkcenter / Bown,2014-09-11,AM,36.0
Pine / Meridian,2014-09-10,PM,21.0
Royal / Lusk,2014-09-09,AM,47.0
Vista / Overland,2014-09-11,AM,32.0
VMP / Chinden,2014-09-09,PM,61.0
Warm Springs / Walnut,2014-09-11,PM,76.0
WWPB / Main,2014-09-17,PM,59.0
WWPB / State,2014-09-10,PM,61.0
